client_id,segment,neighbourhood,owner_age_band,household,tech_comfort,budget_sensitivity,channel_preference,pets,n_pets,services_used,visits_last_2y,last_visit,satisfaction_prior
MVC-C001,time_poor_professional,Rathgar,18-29,couple,low,low,web,"[{""species"": ""Cat"", ""breed"": ""Ragdoll"", ""age_years"": 5.0, ""brachycephalic"": false, ""senior"": false}]",1,MVC-002|MVC-011|MVC-029,4,2026-07,5
MVC-C002,multi_pet,Rathmines,45-59,couple,low,medium,walk-in,"[{""species"": ""Rabbit"", ""breed"": ""Rescue rabbit"", ""age_years"": 2.4, ""brachycephalic"": false, ""senior"": false}, {""species"": ""Cat"", ""breed"": ""Maine Coon"", ""age_years"": 7.8, ""brachycephalic"": false, ""senior"": false}, {""species"": ""Cat"", ""breed"": ""Domestic longhair"", ""age_years"": 6.9, ""brachycephalic"": false, ""senior"": false}]",3,MVC-040|MVC-011|MVC-015,5,2026-04,3
MVC-C003,senior_pet,Rathmines,30-44,family_with_kids,medium,medium,phone,"[{""species"": ""Bird"", ""breed"": ""Budgie"", ""age_years"": 11.4, ""brachycephalic"": false, ""senior"": true}]",1,MVC-007|MVC-084,8,2026-05,4
MVC-C004,budget_stretched,Rathmines,45-59,couple,medium,high,walk-in,"[{""species"": ""Dog"", ""breed"": ""Rescue crossbreed"", ""age_years"": 4.0, ""brachycephalic"": false, ""senior"": false}]",1,MVC-028|MVC-017|MVC-092|MVC-010|MVC-008|MVC-004,2,2026-06,4
MVC-C005,anxious_first_timer,Portobello,30-44,single,medium,high,web,"[{""species"": ""Cat"", ""breed"": ""Ragdoll"", ""age_years"": 7.4, ""brachycephalic"": false, ""senior"": false}]",1,MVC-081|MVC-005|MVC-033|MVC-009|MVC-002|MVC-093,7,2026-06,3
MVC-C006,multi_pet,Donnybrook,18-29,shared_house,low,low,walk-in,"[{""species"": ""Rabbit"", ""breed"": ""Mini Lop"", ""age_years"": 3.8, ""brachycephalic"": false, ""senior"": false}, {""species"": ""Dog"", ""breed"": ""Beagle"", ""age_years"": 3.2, ""brachycephalic"": false, ""senior"": false}, {""species"": ""Rabbit"", ""breed"": ""Netherland Dwarf"", ""age_years"": 8.1, ""brachycephalic"": false, ""senior"": true}]",3,MVC-017|MVC-077|MVC-028|MVC-012|MVC-023,6,2026-03,5
MVC-C007,budget_stretched,Terenure,30-44,couple,low,high,web,"[{""species"": ""Dog"", ""breed"": ""Cocker Spaniel"", ""age_years"": 1.2, ""brachycephalic"": false, ""senior"": false}]",1,MVC-031|MVC-008|MVC-001,5,2026-03,3
MVC-C008,time_poor_professional,Dartry,30-44,single,high,low,phone,"[{""species"": ""Cat"", ""breed"": ""Rescue moggy"", ""age_years"": 6.7, ""brachycephalic"": false, ""senior"": false}]",1,MVC-078|MVC-093|MVC-029|MVC-002|MVC-024|MVC-076,4,2026-04,3
MVC-C009,new_pet,Rathmines,60+,family_with_kids,medium,low,phone,"[{""species"": ""Dog"", ""breed"": ""Border Collie"", ""age_years"": 0.4, ""brachycephalic"": false, ""senior"": false}]",1,MVC-034|MVC-054|MVC-019|MVC-082,6,2026-07,5
MVC-C010,senior_pet,Rathmines,18-29,family_with_kids,low,medium,walk-in,"[{""species"": ""Dog"", ""breed"": ""Border Collie"", ""age_years"": 11.9, ""brachycephalic"": false, ""senior"": true}]",1,MVC-046|MVC-092,10,2026-06,3
MVC-C011,budget_stretched,Clonskeagh,45-59,single,medium,high,web,"[{""species"": ""Cat"", ""breed"": ""Domestic shorthair"", ""age_years"": 10.7, ""brachycephalic"": false, ""senior"": true}]",1,MVC-033|MVC-086|MVC-002,3,2026-06,3
MVC-C012,time_poor_professional,Portobello,45-59,couple,high,medium,web,"[{""species"": ""Cat"", ""breed"": ""Maine Coon"", ""age_years"": 8.1, ""brachycephalic"": false, ""senior"": false}]",1,MVC-024|MVC-011,3,2026-06,3
MVC-C013,lapsed,Clonskeagh,45-59,single,high,medium,web,"[{""species"": ""Cat"", ""breed"": ""British Shorthair"", ""age_years"": 8.2, ""brachycephalic"": false, ""senior"": false}]",1,MVC-093|MVC-033,3,2025-02,3
MVC-C014,senior_pet,Rathmines,60+,couple,medium,high,web,"[{""species"": ""Dog"", ""breed"": ""Terrier cross"", ""age_years"": 12.5, ""brachycephalic"": false, ""senior"": true}]",1,MVC-021|MVC-065|MVC-046|MVC-092|MVC-008|MVC-063,12,2026-05,4
MVC-C015,anxious_first_timer,Donnybrook,30-44,couple,high,high,web,"[{""species"": ""Dog"", ""breed"": ""Cocker Spaniel"", ""age_years"": 5.1, ""brachycephalic"": false, ""senior"": false}]",1,MVC-092|MVC-082|MVC-080|MVC-008,7,2026-03,5
MVC-C016,new_pet,Dartry,30-44,single,medium,medium,web,"[{""species"": ""Dog"", ""breed"": ""Rescue crossbreed"", ""age_years"": 1.2, ""brachycephalic"": false, ""senior"": false}]",1,MVC-031|MVC-082|MVC-004|MVC-019|MVC-037,6,2026-07,4
MVC-C017,multi_pet,Portobello,45-59,single,high,medium,walk-in,"[{""species"": ""Cat"", ""breed"": ""Rescue moggy"", ""age_years"": 3.3, ""brachycephalic"": false, ""senior"": false}, {""species"": ""Dog"", ""breed"": ""Rescue crossbreed"", ""age_years"": 6.1, ""brachycephalic"": false, ""senior"": false}]",2,MVC-002|MVC-093|MVC-018|MVC-009|MVC-031,2,2026-06,3
MVC-C018,brachy_highrisk,Terenure,30-44,family_with_kids,medium,low,web,"[{""species"": ""Dog"", ""breed"": ""Cavalier King Charles Spaniel"", ""age_years"": 5.0, ""brachycephalic"": true, ""senior"": false}]",1,MVC-050|MVC-004|MVC-092|MVC-042,4,2026-07,3
MVC-C019,brachy_highrisk,Terenure,60+,couple,medium,medium,web,"[{""species"": ""Dog"", ""breed"": ""Pug"", ""age_years"": 7.1, ""brachycephalic"": true, ""senior"": false}]",1,MVC-042|MVC-043,11,2026-05,4
MVC-C020,senior_pet,Harold's Cross,45-59,single,medium,low,phone,"[{""species"": ""Cat"", ""breed"": ""Rescue moggy"", ""age_years"": 12.8, ""brachycephalic"": false, ""senior"": true}]",1,MVC-048|MVC-002|MVC-005|MVC-068|MVC-024|MVC-011,10,2026-07,4
MVC-C021,multi_pet,Clonskeagh,30-44,single,high,high,phone,"[{""species"": ""Rabbit"", ""breed"": ""Mini Lop"", ""age_years"": 2.9, ""brachycephalic"": false, ""senior"": false}, {""species"": ""Dog"", ""breed"": ""Jack Russell"", ""age_years"": 7.4, ""brachycephalic"": false, ""senior"": false}]",2,MVC-010|MVC-006|MVC-012|MVC-030|MVC-026|MVC-008,7,2026-05,4
MVC-C022,lapsed,Rathmines,60+,couple,medium,low,web,"[{""species"": ""Rabbit"", ""breed"": ""Netherland Dwarf"", ""age_years"": 5.2, ""brachycephalic"": false, ""senior"": false}]",1,MVC-094|MVC-030,2,2025-04,4
MVC-C023,senior_pet,Rathmines,30-44,single,low,medium,phone,"[{""species"": ""Dog"", ""breed"": ""Springer Spaniel"", ""age_years"": 10.7, ""brachycephalic"": false, ""senior"": true}]",1,MVC-039|MVC-008|MVC-090,11,2026-05,4
MVC-C024,new_pet,Harold's Cross,45-59,single,low,high,web,"[{""species"": ""Cat"", ""breed"": ""Ragdoll"", ""age_years"": 0.7, ""brachycephalic"": false, ""senior"": false}]",1,MVC-081|MVC-033|MVC-057|MVC-038,5,2026-06,4
MVC-C025,budget_stretched,Donnybrook,60+,family_with_kids,low,high,phone,"[{""species"": ""Cat"", ""breed"": ""Ragdoll"", ""age_years"": 7.8, ""brachycephalic"": false, ""senior"": false}]",1,MVC-033|MVC-009,4,2026-05,2
MVC-C026,brachy_highrisk,Harold's Cross,30-44,couple,low,medium,web,"[{""species"": ""Dog"", ""breed"": ""Boxer"", ""age_years"": 2.8, ""brachycephalic"": true, ""senior"": false}]",1,MVC-014|MVC-060|MVC-004|MVC-051|MVC-065,12,2026-06,4
MVC-C027,lapsed,Ranelagh,30-44,family_with_kids,high,low,walk-in,"[{""species"": ""Rabbit"", ""breed"": ""Lionhead"", ""age_years"": 9.9, ""brachycephalic"": false, ""senior"": true}]",1,MVC-094|MVC-006|MVC-030,1,2025-02,2
MVC-C028,new_pet,Milltown,18-29,couple,medium,high,phone,"[{""species"": ""Cat"", ""breed"": ""British Shorthair"", ""age_years"": 0.3, ""brachycephalic"": false, ""senior"": false}]",1,MVC-035|MVC-038|MVC-033|MVC-022|MVC-018,5,2026-06,5
MVC-C029,senior_pet,Harold's Cross,30-44,family_with_kids,medium,medium,walk-in,"[{""species"": ""Dog"", ""breed"": ""Springer Spaniel"", ""age_years"": 12.6, ""brachycephalic"": false, ""senior"": true}]",1,MVC-001|MVC-019,8,2026-07,5
MVC-C030,multi_pet,Ranelagh,30-44,single,medium,medium,phone,"[{""species"": ""Cat"", ""breed"": ""Domestic longhair"", ""age_years"": 1.7, ""brachycephalic"": false, ""senior"": false}, {""species"": ""Dog"", ""breed"": ""Beagle"", ""age_years"": 9.4, ""brachycephalic"": false, ""senior"": true}]",2,MVC-093|MVC-009|MVC-071|MVC-039|MVC-078,3,2026-04,5
MVC-C031,lapsed,Ranelagh,18-29,family_with_kids,low,medium,phone,"[{""species"": ""Cat"", ""breed"": ""Domestic shorthair"", ""age_years"": 3.6, ""brachycephalic"": false, ""senior"": false}]",1,MVC-033|MVC-093|MVC-029,1,2025-01,2
MVC-C032,lapsed,Terenure,45-59,family_with_kids,high,low,web,"[{""species"": ""Dog"", ""breed"": ""Terrier cross"", ""age_years"": 1.8, ""brachycephalic"": false, ""senior"": false}]",1,MVC-008|MVC-026|MVC-092|MVC-032|MVC-017|MVC-004,2,2025-06,4
MVC-C033,budget_stretched,Portobello,45-59,couple,high,high,web,"[{""species"": ""Rabbit"", ""breed"": ""Lionhead"", ""age_years"": 4.1, ""brachycephalic"": false, ""senior"": false}]",1,MVC-016|MVC-087|MVC-003,2,2026-04,2
MVC-C034,multi_pet,Dartry,45-59,couple,high,medium,web,"[{""species"": ""Dog"", ""breed"": ""Cavapoo"", ""age_years"": 7.4, ""brachycephalic"": false, ""senior"": false}, {""species"": ""Rabbit"", ""breed"": ""Mini Lop"", ""age_years"": 5.6, ""brachycephalic"": false, ""senior"": false}]",2,MVC-026|MVC-032|MVC-072|MVC-008|MVC-030|MVC-012,4,2026-03,4
MVC-C035,senior_pet,Terenure,18-29,family_with_kids,medium,medium,phone,"[{""species"": ""Dog"", ""breed"": ""Beagle"", ""age_years"": 9.3, ""brachycephalic"": false, ""senior"": true}]",1,MVC-041|MVC-092|MVC-017|MVC-060|MVC-043|MVC-039,5,2026-05,5
MVC-C036,budget_stretched,Ranelagh,30-44,shared_house,medium,high,phone,"[{""species"": ""Cat"", ""breed"": ""Maine Coon"", ""age_years"": 9.3, ""brachycephalic"": false, ""senior"": true}]",1,MVC-011|MVC-009|MVC-093,7,2026-05,3
